indicador,nombre,datetime,datetime_utc,value,geo_id
464,Potencia instalada de generación convencional Hidráulica UGH,2026-02-01T00:00:00.000+01:00,2026-01-31T23:00:00Z,389.5,62
464,Potencia instalada de generación convencional Hidráulica UGH,2026-02-01T00:00:00.000+01:00,2026-01-31T23:00:00Z,386.0,50
464,Potencia instalada de generación convencional Hidráulica UGH,2026-02-01T00:00:00.000+01:00,2026-01-31T23:00:00Z,4.3,69
464,Potencia instalada de generación convencional Hidráulica UGH,2026-02-01T00:00:00.000+01:00,2026-01-31T23:00:00Z,188.2,70
464,Potencia instalada de generación convencional Hidráulica UGH,2026-02-01T00:00:00.000+01:00,2026-01-31T23:00:00Z,539.4,71
464,Potencia instalada de generación convencional Hidráulica UGH,2026-02-01T00:00:00.000+01:00,2026-01-31T23:00:00Z,4.7,72
464,Potencia instalada de generación convencional Hidráulica UGH,2026-02-01T00:00:00.000+01:00,2026-01-31T23:00:00Z,11.8,64
464,Potencia instalada de generación convencional Hidráulica UGH,2026-02-01T00:00:00.000+01:00,2026-01-31T23:00:00Z,3534.0,48
464,Potencia instalada de generación convencional Hidráulica UGH,2026-02-01T00:00:00.000+01:00,2026-01-31T23:00:00Z,2182.5,44
464,Potencia instalada de generación convencional Hidráulica UGH,2026-02-01T00:00:00.000+01:00,2026-01-31T23:00:00Z,945.8,43
464,Potencia instalada de generación convencional Hidráulica UGH,2026-02-01T00:00:00.000+01:00,2026-01-31T23:00:00Z,13.3,41
