id,nombre,estado,detalle,values_updated_at,filas
135,Generación programada PHF1 Importación Marruecos,vacio,sin valores (aún no publicado),,0
136,Generación programada PHF1 Importación Andorra,vacio,sin valores (aún no publicado),,0
137,Generación programada PHF1 Exportación Francia,ok,,2026-08-12T17:15:06.000+02:00,92
138,Generación programada PHF1 Exportación Portugal,ok,,2026-08-12T17:15:06.000+02:00,186
139,Generación programada PHF1 Exportación Marruecos,ok,,2026-08-12T17:15:06.000+02:00,192
140,Generación programada PHF1 Exportación Andorra,ok,,2026-08-12T17:15:06.000+02:00,192
145,Generación programada PHF2 Hulla antracita Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
146,Generación programada PHF2 Hulla sub-bituminosa Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
176,Generación programada PHF3 Hidráulica UGH,ok,,2026-08-12T14:20:38.000+02:00,48
177,Generación programada PHF3 Hidráulica no UGH,ok,,2026-08-12T14:20:38.000+02:00,48
178,Generación programada PHF3 Turbinación bombeo,ok,,2026-08-12T14:20:38.000+02:00,25
179,Generación programada PHF3 Nuclear,ok,,2026-08-12T14:20:38.000+02:00,48
180,Generación programada PHF3 Hulla antracita Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
181,Generación programada PHF3 Hulla sub-bituminosa Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
182,Generación programada PHF3 Hulla antracita,ok,,2026-08-12T14:20:38.000+02:00,25
183,Generación programada PHF3 Hulla sub-bituminosa,vacio,sin valores (aún no publicado),,0
184,Generación programada PHF3 Ciclo combinado,ok,,2026-08-12T14:20:38.000+02:00,48
185,Generación programada PHF3 Fuel,vacio,sin valores (aún no publicado),,0
186,Generación programada PHF3 Gas Natural - Turbina de vapor,ok,,2026-08-12T14:20:38.000+02:00,48
187,Generación programada PHF3 Eólica terrestre,ok,,2026-08-12T14:20:38.000+02:00,48
188,Generación programada PHF3 Eólica marina,ok,,2026-08-12T14:20:38.000+02:00,33
189,Generación programada PHF3 Solar fotovoltaica,ok,,2026-08-12T14:20:38.000+02:00,48
190,Generación programada PHF3 Solar térmica,ok,,2026-08-12T14:20:38.000+02:00,48
191,Generación programada PHF3 Océano y geotérmica,vacio,sin valores (aún no publicado),,0
192,Generación programada PHF3 Gas Natural Cogeneración,ok,,2026-08-12T14:20:38.000+02:00,48
193,Generación programada PHF3 Derivados del petróleo ó carbón,ok,,2026-08-12T14:20:38.000+02:00,48
194,Generación programada PHF3 Subproductos minería,vacio,sin valores (aún no publicado),,0
195,Generación programada PHF3 Energía residual,ok,,2026-08-12T14:20:38.000+02:00,48
196,Generación programada PHF3 Biomasa,ok,,2026-08-12T14:20:38.000+02:00,48
197,Generación programada PHF3 Biogás,ok,,2026-08-12T14:20:38.000+02:00,48
198,Generación programada PHF3 Residuos domésticos y similares,ok,,2026-08-12T14:20:38.000+02:00,48
199,Generación programada PHF3 Residuos varios,ok,,2026-08-12T14:20:38.000+02:00,48
200,Generación programada PHF3 Consumo bombeo,ok,,2026-08-12T14:20:38.000+02:00,30
201,Generación programada PHF3 Enlace Baleares,ok,,2026-08-12T14:20:38.000+02:00,48
202,Generación programada PHF3 Genéricas,vacio,sin valores (aún no publicado),,0
203,Generación programada PHF3 Importación Francia,ok,,2026-08-12T14:20:38.000+02:00,33
