Trading day,Product,Place of delivery,Area,First Day Delivery,Last Day Delivery,"Reference Price
[EUR/MWh]","Auction Price
[EUR/MWh]","Last Price
[EUR/MWh]","Bid
[EUR/MWh]","Ask
[EUR/MWh]",Source,"Maximum Price
[EUR/MWh]","Minimum Price
[EUR/MWh]","Price difference between purchases and sales
[%]",Auction Volume Traded [MWh],OTC Volume Registered [MWh],"Volume Traded
[MWh]"
2026-08-08,GDAES_D+2,PVB,ES,2026-08-10,2026-08-10,55.48,54.23,55.73,55.3,55.81,M,55.8,54.23,1.93,950.0,0,9256.0
2026-08-08,GDAES_D+3,PVB,ES,2026-08-11,2026-08-11,,,,,,,,,7.27,0.0,0,0.0
2026-08-07,GDAES_D+1,PVB,ES,2026-08-08,2026-08-08,55.81,56.8,54.9,54.62,55.27,M,57.0,54.5,0.83,30381.0,0,97693.0
2026-08-07,GDAES_D+2,PVB,ES,2026-08-09,2026-08-09,55.4,56.68,54.67,53.9,55.44,M,57.0,54.0,2.0,295.0,0,8756.0
2026-08-07,GDAES_D+3,PVB,ES,2026-08-10,2026-08-10,55.56,56.68,54.85,54.7,55.0,M,56.68,54.4,0.56,16975.0,0,177154.0
2026-08-06,GDAES_D+1,PVB,ES,2026-08-07,2026-08-07,54.76,53.39,55.84,55.78,55.87,M,56.25,53.39,0.59,57007.0,0,383691.0
2026-08-06,GDAES_D+2,PVB,ES,2026-08-08,2026-08-08,52.71,52.71,54.0,53.0,54.99,M,52.71,52.71,5.89,300.0,0,300.0
2026-08-06,GDAES_D+3,PVB,ES,2026-08-09,2026-08-09,53.12,53.12,54.0,53.01,54.99,M,53.12,53.12,4.73,100.0,0,100.0
2026-08-05,GDAES_D+1,PVB,ES,2026-08-06,2026-08-06,54.09,56.2,52.41,52.34,52.48,M,56.2,52.0,0.43,66211.0,0,354166.0
2026-08-05,GDAES_D+2,PVB,ES,2026-08-07,2026-08-07,54.81,56.04,52.7,52.5,52.9,M,56.04,52.7,1.4,2000.0,0,14695.0
2026-08-05,GDAES_D+3,PVB,ES,2026-08-08,2026-08-08,55.76,56.2,53.24,53.0,54.95,M,56.2,53.0,2.37,2000.0,0,2700.0
2026-08-04,GDAES_D+1,PVB,ES,2026-08-05,2026-08-05,57.79,58.95,56.1,56.07,56.15,M,60.5,54.5,0.6,59639.0,0,419067.0
2026-08-04,GDAES_D+2,PVB,ES,2026-08-06,2026-08-06,57.79,,56.1,,,M,59.6,55.5,3.28,0.0,0,9630.0
2026-08-04,GDAES_D+3,PVB,ES,2026-08-07,2026-08-07,57.91,,56.14,,,M,59.6,55.5,3.15,0.0,0,7590.0
2026-08-03,GDAES_D+1,PVB,ES,2026-08-04,2026-08-04,58.09,57.84,57.82,57.79,57.85,M,59.25,57.5,0.51,59401.0,0,374362.0
2026-08-03,GDAES_D+2,PVB,ES,2026-08-05,2026-08-05,58.13,58.4,57.82,57.25,58.39,M,58.7,57.5,1.27,415.0,0,9835.0
2026-08-03,GDAES_D+3,PVB,ES,2026-08-06,2026-08-06,58.05,58.08,58.13,57.25,59.0,M,58.7,57.25,2.46,15.0,0,9832.0
2026-08-02,GDAES_D+1,PVB,ES,2026-08-03,2026-08-03,58.65,58.3,58.66,58.62,58.68,M,59.1,58.2,0.36,24850.0,0,102246.0
2026-08-02,GDAES_D+2,PVB,ES,2026-08-04,2026-08-04,58.61,57.97,58.65,58.3,59.0,M,59.0,57.97,1.72,300.0,0,800.0
2026-08-02,GDAES_D+3,PVB,ES,2026-08-05,2026-08-05,58.1,,58.88,58.3,59.45,M,58.1,58.1,2.69,0.0,0,97.0
2026-08-01,GDAES_D+1,PVB,ES,2026-08-02,2026-08-02,60.36,59.9,60.75,60.5,61.0,M,61.0,59.9,0.73,17345.0,0,43148.0
2026-08-01,GDAES_D+2,PVB,ES,2026-08-03,2026-08-03,60.83,60.5,60.64,60.33,60.95,M,61.0,60.5,1.32,2000.0,0,9293.0
2026-08-01,GDAES_D+3,PVB,ES,2026-08-04,2026-08-04,60.1,,60.5,59.5,61.5,M,60.1,60.1,2.86,0.0,0,97.0
2026-07-31,GDAES_D+1,PVB,ES,2026-08-01,2026-08-01,59.45,59.2,59.16,59.08,59.42,M,61.14,58.6,1.39,24828.0,0,58685.0
2026-07-31,GDAES_D+2,PVB,ES,2026-08-02,2026-08-02,59.23,59.36,58.94,58.89,59.22,M,60.69,58.5,1.52,737.0,0,3927.0
2026-07-31,GDAES_D+3,PVB,ES,2026-08-03,2026-08-03,59.44,59.2,58.98,58.95,59.02,M,60.55,58.6,0.54,26089.0,0,234164.0
2026-07-30,GDAES_D+1,PVB,ES,2026-07-31,2026-07-31,59.87,60.94,59.33,59.3,59.36,M,60.94,58.95,0.51,49787.0,0,311898.0
2026-07-30,GDAES_D+2,PVB,ES,2026-08-01,2026-08-01,60.05,60.8,59.2,58.5,59.9,M,60.8,59.0,2.32,400.0,0,1500.0
2026-07-30,GDAES_D+3,PVB,ES,2026-08-02,2026-08-02,59.87,60.8,59.25,58.5,60.0,M,60.8,59.0,2.8,100.0,0,700.0
2026-07-29,GDAES_D+1,PVB,ES,2026-07-30,2026-07-30,60.91,59.9,61.4,61.37,61.46,M,63.23,59.4,0.44,45936.0,0,352070.0
2026-07-29,GDAES_D+2,PVB,ES,2026-07-31,2026-07-31,60.36,60.0,62.1,61.3,62.9,M,62.0,59.4,2.83,10.0,0,6340.0
2026-07-29,GDAES_D+3,PVB,ES,2026-08-01,2026-08-01,62.75,,62.75,61.8,63.7,M,,,6.24,0.0,0,0.0
2026-07-28,GDAES_D+1,PVB,ES,2026-07-29,2026-07-29,58.4,58.26,58.01,57.98,58.12,M,59.5,57.2,0.46,71168.0,0,351161.0
2026-07-28,GDAES_D+2,PVB,ES,2026-07-30,2026-07-30,58.4,58.15,58.49,58.28,59.2,M,59.0,57.0,1.63,935.0,0,10435.0
2026-07-28,GDAES_D+3,PVB,ES,2026-07-31,2026-07-31,58.62,58.2,58.52,58.27,59.5,M,59.0,57.0,1.96,115.0,0,4015.0
2026-07-27,GDAES_D+1,PVB,ES,2026-07-28,2026-07-28,60.17,59.98,59.9,59.88,59.96,M,61.0,59.5,0.4,48761.0,0,370404.0
2026-07-27,GDAES_D+2,PVB,ES,2026-07-29,2026-07-29,60.19,60.2,59.89,59.8,60.57,M,60.85,59.55,2.7,225.0,0,20545.0
2026-07-27,GDAES_D+3,PVB,ES,2026-07-30,2026-07-30,60.07,60.2,59.92,59.8,60.79,M,60.5,59.25,4.08,125.0,0,12846.0
