captura,fuente,motivo
2026-08-14-2011,esios_capacidad_instalada,ausente
2026-08-14-2011,mibgas_curva,ausente
2026-08-14-2011,sendeco2_eua,ausente
2026-08-14-2035,aemet_prediccion_diaria,ausente
2026-08-14-2035,aemet_prediccion_horaria,ausente
2026-08-14-2035,aemet_prediccion_periodos,ausente
2026-08-14-2035,esios_capacidad_instalada,ausente
2026-08-14-2035,mibgas_curva,ausente
2026-08-14-2035,sendeco2_eua,ausente
2026-08-14-2050,aemet_prediccion_diaria,ausente
2026-08-14-2050,aemet_prediccion_horaria,ausente
2026-08-14-2050,aemet_prediccion_periodos,ausente
2026-08-14-2050,esios_capacidad_instalada,ausente
2026-08-14-2050,mibgas_curva,ausente
2026-08-14-2050,sendeco2_eua,ausente
2026-08-14-2216,aemet_prediccion_diaria,ausente
2026-08-14-2216,aemet_prediccion_horaria,ausente
2026-08-14-2216,aemet_prediccion_periodos,ausente
2026-08-14-2216,esios_capacidad_instalada,ausente
2026-08-14-2216,mibgas_curva,ausente
2026-08-14-2216,sendeco2_eua,ausente
2026-08-14-2346,esios_capacidad_instalada,ausente
2026-08-14-2346,mibgas_curva,ausente
2026-08-14-2346,sendeco2_eua,ausente
2026-08-15-0143,aemet_prediccion_diaria,ausente
2026-08-15-0143,aemet_prediccion_horaria,ausente
2026-08-15-0143,aemet_prediccion_periodos,ausente
2026-08-15-0143,esios_capacidad_instalada,ausente
2026-08-15-0143,mibgas_curva,ausente
2026-08-15-0143,sendeco2_eua,ausente
2026-08-15-0250,esios_capacidad_instalada,ausente
2026-08-15-0250,mibgas_curva,ausente
2026-08-15-0250,sendeco2_eua,ausente
2026-08-15-0441,aemet_prediccion_diaria,ausente
2026-08-15-0441,aemet_prediccion_horaria,ausente
2026-08-15-0441,aemet_prediccion_periodos,ausente
2026-08-15-0441,esios_capacidad_instalada,ausente
2026-08-15-0441,mibgas_curva,ausente
2026-08-15-0441,sendeco2_eua,ausente
2026-08-15-0550,esios_capacidad_instalada,ausente
2026-08-15-0550,mibgas_curva,ausente
2026-08-15-0550,sendeco2_eua,ausente
2026-08-15-0607,aemet_prediccion_diaria,ausente
2026-08-15-0607,aemet_prediccion_horaria,ausente
2026-08-15-0607,aemet_prediccion_periodos,ausente
2026-08-15-0607,esios_capacidad_instalada,ausente
2026-08-15-0607,mibgas_curva,ausente
2026-08-15-0607,sendeco2_eua,ausente
2026-08-15-0751,aemet_prediccion_diaria,ausente
2026-08-15-0751,aemet_prediccion_horaria,ausente
2026-08-15-0751,aemet_prediccion_periodos,ausente
2026-08-15-0751,esios_capacidad_instalada,ausente
2026-08-15-0751,mibgas_curva,ausente
2026-08-15-0751,sendeco2_eua,ausente
2026-08-15-0850,esios_capacidad_instalada,ausente
2026-08-15-0850,mibgas_curva,ausente
2026-08-15-0850,sendeco2_eua,ausente
2026-08-15-0954,aemet_prediccion_diaria,ausente
2026-08-15-0954,aemet_prediccion_horaria,ausente
2026-08-15-0954,aemet_prediccion_periodos,ausente
2026-08-15-0954,esios_capacidad_instalada,ausente
2026-08-15-0954,mibgas_curva,ausente
2026-08-15-0954,sendeco2_eua,ausente
2026-08-15-1148,esios_capacidad_instalada,ausente
2026-08-15-1148,mibgas_curva,ausente
2026-08-15-1148,sendeco2_eua,ausente
2026-08-15-1338,aemet_prediccion_diaria,ausente
2026-08-15-1338,aemet_prediccion_horaria,ausente
2026-08-15-1338,aemet_prediccion_periodos,ausente
2026-08-15-1338,esios_capacidad_instalada,ausente
2026-08-15-1338,mibgas_curva,ausente
2026-08-15-1338,sendeco2_eua,ausente
2026-08-15-1400,aemet_prediccion_diaria,ausente
2026-08-15-1400,aemet_prediccion_horaria,ausente
2026-08-15-1400,aemet_prediccion_periodos,ausente
2026-08-15-1400,esios_capacidad_instalada,ausente
2026-08-15-1400,mibgas_curva,ausente
2026-08-15-1400,sendeco2_eua,ausente
2026-08-15-1450,esios_capacidad_instalada,ausente
2026-08-15-1450,mibgas_curva,ausente
2026-08-15-1450,sendeco2_eua,ausente
2026-08-15-1552,aemet_prediccion_diaria,ausente
2026-08-15-1552,aemet_prediccion_horaria,ausente
2026-08-15-1552,aemet_prediccion_periodos,ausente
2026-08-15-1552,esios_capacidad_instalada,ausente
2026-08-15-1552,mibgas_curva,ausente
2026-08-15-1552,sendeco2_eua,ausente
2026-08-15-1739,esios_capacidad_instalada,ausente
2026-08-15-1739,mibgas_curva,ausente
2026-08-15-1739,sendeco2_eua,ausente
2026-08-15-1750,aemet_prediccion_diaria,ausente
2026-08-15-1750,aemet_prediccion_horaria,ausente
2026-08-15-1750,aemet_prediccion_periodos,ausente
2026-08-15-1750,esios_capacidad_instalada,ausente
2026-08-15-1750,mibgas_curva,ausente
2026-08-15-1750,sendeco2_eua,ausente
2026-08-15-1801,aemet_prediccion_diaria,ausente
2026-08-15-1801,aemet_prediccion_horaria,ausente
2026-08-15-1801,aemet_prediccion_periodos,ausente
2026-08-15-1801,esios_capacidad_instalada,ausente
2026-08-15-1801,mibgas_curva,ausente
2026-08-15-1801,sendeco2_eua,ausente
2026-08-15-1940,aemet_prediccion_diaria,ausente
2026-08-15-1940,aemet_prediccion_horaria,ausente
2026-08-15-1940,aemet_prediccion_periodos,ausente
2026-08-15-1940,esios_capacidad_instalada,ausente
2026-08-15-1940,mibgas_curva,ausente
2026-08-15-1940,sendeco2_eua,ausente
2026-08-15-2000,aemet_prediccion_diaria,ausente
2026-08-15-2000,aemet_prediccion_horaria,ausente
2026-08-15-2000,aemet_prediccion_periodos,ausente
2026-08-15-2000,esios_capacidad_instalada,ausente
2026-08-15-2000,mibgas_curva,ausente
2026-08-15-2000,sendeco2_eua,ausente
