captura_madrid,indicador,nombre,estado,values_updated_at,fecha_min,fecha_max,dias_cubiertos,n_periodos,suma_valores,hash_valores
2026-08-13T23:50:49+02:00,327,Generación programada PHF7 Eólica terrestre,vacio,,,,0,0,,
2026-08-13T23:50:49+02:00,329,Generación programada PHF7 Solar fotovoltaica,vacio,,,,0,0,,
2026-08-13T23:50:49+02:00,330,Generación programada PHF7 Solar térmica,vacio,,,,0,0,,
2026-08-13T23:50:49+02:00,434,Programa bilateral PBF Solar fotovoltaica,ok,2026-08-13T14:31:15.000+02:00,2026-08-12T05:30:00.000+02:00,2026-08-14T21:45:00.000+02:00,3,198,192040.4,2d01d6a6424588e5
2026-08-13T23:50:49+02:00,1411,Generación programada PHFC Eólica terrestre,ok,2026-08-13T23:39:25.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-13T23:45:00.000+02:00,2,192,152113.3,9fbd3fbb8263d6c8
2026-08-13T23:50:49+02:00,1413,Generación programada PHFC Solar fotovoltaica,ok,2026-08-13T23:39:25.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-13T23:45:00.000+02:00,2,189,550552.5,6ada50932fa6f071
2026-08-13T23:50:49+02:00,1414,Generación programada PHFC Solar térmica,ok,2026-08-13T23:39:25.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-13T23:45:00.000+02:00,2,192,44685.2,ddf2d0a1e0f90b63
2026-08-14T01:12:12+02:00,12,Generación programada PBF Eólica terrestre,ok,2026-08-13T14:31:16.000+02:00,2026-08-13T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,2,192,222701.2,46a820973c38d085
2026-08-14T01:12:12+02:00,14,Generación programada PBF Solar fotovoltaica,ok,2026-08-13T14:31:16.000+02:00,2026-08-13T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,2,192,582873.7,6ee9e5ea5eb64026
2026-08-14T01:12:12+02:00,15,Generación programada PBF Solar térmica,ok,2026-08-13T14:31:16.000+02:00,2026-08-13T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,2,192,49465.9,9436fc7e738b081f
